ShipID,CustomerID,ItemTypeID,ShipItemName,ShipDate,ToCompanyID,FromCompanyID,ShipItemType,ShipStatus,FromCompany,ToCompany,MoldID,CutterID,FrameID,OtherEquipID,WaterBaseID,ShipNotes,DateEntry
4,108,10,ネル,2024/9/30,8,2,,,2,ベトナム,,,,1,,760x320x200 5.4kg,
11,177,2,,2024/9/30,7,2,,,,,1169,,,,,,
12,177,2,,2024/10/1,3,2,,,,,2895,,,,,坂田さん,
13,177,2,,2024/10/1,3,2,,,,,4223,,,,,坂田さん,
14,177,2,,2024/8/2,5,2,,,,青森工場へ20240802,2221,,,,,,
28,12,2,金型返却,2024/8/19,9,2,,,,MZT,3063,,,,,桜井さん,2024/8/17
29,230,2,,2024/8/21,,2,,,,株式会社　藤岡エンジニアリング,102,,,,,"管理課　購買・管理係
 　 　平方　義之　様

  〒719-3143
 　 岡山県真庭市下市瀬1100
　　TEL：0867-52-7105",2024/8/21
30,177,2,,2024/8/23,5,2,,,,,2989,,,,,,2024/8/23
31,177,2,,2024/8/23,5,2,,,,,2990,,,,,,2024/8/23
32,229,2,,2024/8/23,7,2,,,,,3078,,,,,,2024/8/23
33,93,2,,,1,2,,,,,1917,,,,,2024,2024/8/27
34,177,2,,2024/8/27,3,2,,,,,4223,,,,,坂田さん,2024/8/27
35,229,2,,2024/8/28,3,2,,,,坂田精文堂,3078,,,,,テフロン加工済,2024/8/28
36,12,2,,2024/8/28,2,3,,,坂田精文堂,YSD,4226,,,,,写真撮影ため,2024/8/28
37,93,2,,2024/7/22,,2,,,,,4239,,,,,,2024/9/4
38,202,2,,2024/9/9,,,,,,,1093,,,,,坂田さん,2024/9/9
39,248,2,,2024/9/9,,,,,,,2698,,,,,彫刻改造有,2024/9/9
40,177,2,,2024/10/3,2,7,,,,YSD,1985,,,,,テフロン加工受取,
41,93,2,,2024/10/7,2,4,,,,YSD,3072,,,,,弊社に返却して改造する,
42,93,2,,2024/10/7,2,4,,,,,4373,,,,,"R無しの方は廃棄していいかTEに確認しますので、
それまでは保管しておいてください。",
43,141,2,,2024/10/3,7,2,,,,,4428,,,,,テフロン加工へ,
44,351,2,,2024/9/17,9,2,,,,,4218,,,,0,強力テフロン加工へ,
45,351,2,,2024/9/25,3,9,,,,,4218,,,,0,テフロン加工済,
46,108,10,カットしたPP板,2024/9/11,5,2,,,,,,,,,0,,
47,12,4,MZT-145の抜き刃と支給材料を水谷製作所本社に送ります。,2024/9/2,9,2,,,,,,,,,0,"材料：透明　PET(CL)1.00mm SCSV-APET
　　　 青 PET(青)1.00mm 405巾",
48,177,2,JAE-322の金型・プラグ・カッタの出荷の予定は7/3（水）です。,2024/7/3,,2,,,,,3060,,,,0,,
49,306,2,KNC-001金型返却,2024/6/25,,2,,,,,2393,,,,0,,
50,93,2,,2024/6/25,1,2,,,,,3049,,,,0,再作成した金型のみ,
51,93,2,,2024/6/5,1,2,,,,,4538,,,,0,外形調整した金型,
52,141,2,,2024/10/8,2,7,,,,,4428,,,,0,テフロン加工済　トアン,
53,71,2,,2024/10/7,10,10,,,,,4648,,,,0,廃棄箱に入れた。　トアン,
54,93,2,,2024/10/9,4,2,,,,,3072,,,,0,改造完了-->成形,
56,248,2,,2024/10/17,401,2,,,,,1565,,,,0,"共同紙業 早川様より金型返却の連絡が来ました。
該当金型は KDS-069 です。",
58,111,2,,2024/10/16,305,2,,,,,444,,,,0,返却のため,2024/10/16
59,111,2,,2024/10/16,305,2,,,,,433,,,,0,返却,
60,93,2,,2024/10/19,2,2,,,,2F・谷口さん,1769,,,,0,成形為２Fに移動・361から2F,
61,177,2,,2024/10/21,3,2,,,,,276,,,,0,成形のため,
62,177,2,,2024/10/25,2,3,,,,232,3058,,,,0,写真撮影ため,
63,177,2,,2024/10/25,2,3,,,,,4223,,,,0,写真撮影ため,
64,177,2,,2024/10/29,3,2,,,,,273,,,,0,金型確認（坂田さん）,
65,177,2,,2024/10/29,3,2,,,,,4223,,,,0,成形,
66,93,2,,2024/10/30,7,2,,,,,2820,,,,0,VIET,
67,93,2,,2024/11/5,2,7,,,,,2820,,,,0,VIET,
74,62,2,,2024/11/8,7,2,,,,,4675,,,,0,テフロン加工依頼（谷口さん）,2024/11/8
75,62,2,,2024/11/8,7,2,,,,,4672,,,,0,テフロン加工依頼（谷口さん）,2024/11/8
76,62,2,,2024/11/8,7,2,,,,,4677,,,,0,テフロン加工依頼（谷口さん）,
77,141,2,,2024/11/18,1,2,,,,,4678,,,,0,"先ほど話したように月曜日の茨城工場向けのトラックにDIC-149/DIC-150の金型関係と材料を載せます。
斉藤君に下記材料を出してもらうようにお願いしてください。

RP東プラ　PS黒1.0㎜導電練り込み　640㎜幅×200m；1本",
78,141,2,,2024/11/18,1,2,,,,,4680,,,,0,"先ほど話したように月曜日の茨城工場向けのトラックにDIC-149/DIC-150の金型関係と材料を載せます。
斉藤君に下記材料を出してもらうようにお願いしてください。

RP東プラ　PS黒1.0㎜導電練り込み　640㎜幅×200m；1本",
79,195,2,,2024/11/22,2,7,,,,,1132,,,,0,テフロン加工完了,
80,177,,,2024/11/27,1,2,,,,,3472,,,,0,抜型と,
81,177,,,2024/11/27,1,2,,,,,4723,,,,0,,
82,177,,,2024/11/27,1,2,,,,,4705,,,,0,,
83,95,2,,2024/11/27,7,2,,,,,4727,,,,0,,
84,61,,,2024/12/3,2,7,,,,,4625,,,,0,,
